PlayerID,PlayerName,WR_ID
481,Dmytro Bardiyevskyi,
482,Vitaliy Sapozhnikov,310065
483,Anatolii Sapozhnikov,310318
484,Oleksandr Martynenko,
485,Mykyta Kushnir,310301
486,Yuriy Kushnir,
487,Igor Chaban,310224
488,Denys Chaban,
489,Oleksandr Malyarozov,
491,Vyacheslav Levdansky,
493,Oleksandr Vladimirov,
495,Mariya Martynenko,
497,Wolodymyr Kudelya,
498,Yuriy Skoroda,
499,Dmytro Derkach,
500,Denys Derkach,
501,Volodymyr Vorobets,
502,Bogdan Bevalysek,
503,Kirill Pavlov,
504,Serhiy Talimonchyk,653881
505,Sergii Tsyba,653196
506,Andryy Lapchenko,
507,Anastasiia Pletneva,
508,Igor Novikov,654709
509,Viktor Levdansky,310122
511,Yevhen Levdansky,310316
515,Grigorii Antonenko,657428
516,Yevgen Rykun,
517,Sofiya Kylymnyk,
519,Valentyn Tsimokh,
520,Dmitry Mayorov,
521,Volodymyr Yakovliev,
522,Sasha Pavlov,
523,Ilya Ponomarev,657455
525,Daniil Osipov,
526,Aleksandr Yakovenko,656792
530,Denis Opara,
534,Maksym Peskov,656502
535,Boqdan Bulovysak,
536,Lenya Zaitcev,656708
537,Kirill Galkov,
538,Artem Budaev,657418
539,Vitaliy Cimbalenko,
543,Oleksandr Malyarozov,310095
544,Ruslan Baryev,
545,Raul Yusupov,
546,Mikhail Nekrylov,
547,Anton Gvozdev,
548,Mark Pyatetsky,
550,Volodymyr Yakovliev,
551,Wolodimir Kudela,310042
552,VIKTOR Pedos,
557,Anton Ozerianskyi,
558,Anastasia Garkovska,653584
559,Oleksandr Azartsev,
560,Alexander Vysotsky,
561,Ilya Shaydurov,
562,Maxim Zulushev,
563,Alexey Bespyatykh,
564,Oleg Malygin,
565,Artyom Turovets,
566,Artur Zhakezhanov,
567,Oleg Aslamov,
568,Daniil Grigorjev,
569,Oleg sergeevich,
570,Dmitry Berezin,
571,Vasily Smirnov,
572,Yury Maksimov,
573,Timofei Belokonev,
574,Oleg Bragonez,
576,Alexey Semenov,
577,Ilya Bychenkov,
578,Alxander Ignatiev,
579,Alexander Lukin,
580,anatoliy Lukin,
581,Alexander Lukin-ml,
582,Alexander Emelyanov,
583,Vadim Petrov,
584,Viktor Nevolnychenko,
585,Mykhailo Bibik,656747
586,Igor Martynenko,310304
587,Mykhaylo Spalek,
588,Maxim Peskov,
589,Dmitriy Afanasyev,
590,Bogdan Bulovysak,
591,Aleksey Orlov,654554
592,Denis Opara,
594,Vladimir Novikov,654758
595,Konstantin Konovalov,
596,Andrii Sanin,
598,Yulia Ksenofontova,
599,Tamara Shalomayeva,656495
600,Oleg Matveyev,
601,Stanislav Khanov,656230
602,Alexey Legostaev,
606,Igor Scherbakov,
607,Evgeniy Goloviznin,
608,Oleg Bublikov,
610,Pavel Churilin,
612,Vladimir Goncharov,654532
613,Denis Katkov,
615,Vitaly Kuzmin,
616,Mikus Saulitis,200244
617,Matīss Saulītis,200243
618,Aleksi Eriksson,
620,Dima Gerasimov,
622,Jevgeni Lvov,90085
623,Roni Nuttunen,100185
625,Vesa Huotelin,651439
627,Viacheslav Patekhin,240266
628,Evgeniy Goloviznin,
631,Danylo Kiva,
633,Oleksiy Karakay,
634,Mykyta Solodkyi,
635,Serhiy Moskalenko,
636,Artem Solya,
637,Anastasya Martynenko,
638,Maria Martynenko,
640,Volodimir Vorobets,
643,Ryurik Gutiev,650733
645,Oleksandr Vladimirov,310080
649,Teuvo Moisa,653055
650,Dmytro Derkach,656496
651,Denys Derkach,656494
652,Sergey Oskin,
653,Vyacheslav Kelin,657758
654,Valeriy Samsonov,240289
655,Vadim Lukin,
656,Alexandr Shikerin,240316
657,Alexey Shikerin,240598
658,Sergey Shikerin,
659,Alexandr Zhulyabin,240539
660,Vladimir Smirnov,240635
661,Stepan Fedorov,
662,Vyacheslav Sorokin,
663,Vladimir Areshkin,240016
664,Grigoriy Dubinin,652046
665,Igor Malachov,
666,Maxim Sorokin,
668,Vladimir Sannikov,656837
669,Vladislav Chesnokov,657752
671,Viktoriia Zaporojets,657494
673,Igor Sherbakov,
674,Egor Boyko,
676,Leonid Shkebelsky,
677,Konstantin Fedorov,
678,Rodion Sinitsyn,
679,Oleg Dzagoshvili,
680,Maxim Ershov,
681,Nikita Pavlov,
690,Vafa Hamdamov,90094
691,Igor Dmitriev,
693,Vladislav Zubel,657695
694,Mykhaylo Spalek,656992
695,Oleg Bublikov,
696,Nikolay Bublikov,
697,Pavel Bezrukov,656235
698,Petr Bezrukov,656234
699,Vitaliy Nevolnychenko,
700,Viktoriya Spalek,
701,Mykhailo Serebryakov,
702,Yevgen Bakhanov,
703,Yegor Moiseyev,
704,Dmytro Sednyov,
705,Denys Zharyy,
706,Andriy Bilous,
707,Serhiy Ignatchenko,
708,Bohdan Krychun,
710,oleg dzogoshvili,
711,Artem Valiev,658426
714,Ivan Shlyandov,
722,Mykyta Demchenko,
723,Yan Smyrskyi,
724,Mykyta Kovalenko,
729,Roman Martyshevskyi,
733,Danylo Smyrskyi,
734,Karina Borisova,
738,dmitry sergeev,
746,Evgeny Petrushenkov,
750,Roman Filenko,
751,Ashot Najaryan,
